Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
ERGA-BGE Genome Report ASM analyses (one-asm WGS Illumina PE + HiC)	WorkflowHub	1103	https://workflowhub.eu/workflows/1103?version=3	Diego De Panis	biodiversity, genome assembly, genomics, qc	2024-11-04	2026-05-13	3	3	45.0	pairtools_parse, sam_merge2, cooler_cload_tabix, bg_diamond, __EXTRACT_DATASET__, tp_text_file_with_recurring_lines, pairtools_dedup, datasets_download_genome, cooler_csort_tabix, lftp, __FLATTEN__, collapse_dataset, genomescope, merqury, hicexplorer_hicmergematrixbins, bwa_mem2, bedtools_makewindowsbed, rseqc_bam_stat, busco, CONVERTER_fasta_to_fai, smudgeplot, meryl, hicexplorer_hicplotmatrix, pairtools_split, fastp, Cut1, gfastats, blobtoolkit, sambamba_flagstat, pick_value, fasterq_dump, sambamba_merge, pairtools_sort	Visualisation, Sequence alignment, k-mer counting, Sequence database search, Genotyping, Sequence contamination filtering, Data parsing, Data deposition, Sequence alignment analysis, Data handling, Genome assembly, Sequencing quality control, De-novo assembly, Scaffolding, Sequence trimming, Sequence assembly validation, Mapping, Phasing, Data retrieval	Genomics	MIT		ERGA Assembly	False	False
ERGA-BGE Genome Report ASM analyses (one-asm HiFi + HiC)	WorkflowHub	1104	https://workflowhub.eu/workflows/1104?version=2	Diego De Panis	genome assembly, genomics, qc	2024-11-04	2026-05-13	2	2	45.0	pairtools_parse, sam_merge2, cooler_cload_tabix, bg_diamond, __EXTRACT_DATASET__, tp_text_file_with_recurring_lines, pairtools_dedup, datasets_download_genome, cooler_csort_tabix, minimap2, lftp, __FLATTEN__, collapse_dataset, genomescope, merqury, hicexplorer_hicmergematrixbins, bwa_mem2, bedtools_makewindowsbed, rseqc_bam_stat, busco, CONVERTER_fasta_to_fai, smudgeplot, meryl, hicexplorer_hicplotmatrix, pairtools_split, fastp, gfastats, Cut1, blobtoolkit, sambamba_flagstat, pick_value, fasterq_dump, cutadapt, sambamba_merge, pairtools_sort	Visualisation, Sequence alignment, k-mer counting, Sequence database search, Primer removal, Genotyping, Sequence contamination filtering, Data parsing, Data deposition, Sequence alignment analysis, Data handling, Genome assembly, Sequencing quality control, De-novo assembly, Scaffolding, Sequence trimming, Sequence assembly validation, Mapping, Phasing, Read pre-processing, Data retrieval, Pairwise sequence alignment	Genomics	MIT		ERGA Assembly	True	False
ERGA ONT+Illumina Assembly+QC NextDenovo+HyPo v2403 (WF2)	WorkflowHub	789	https://workflowhub.eu/workflows/789?version=1	Diego De Panis	name:assembly+qc, name:erga, name:illumina, name:ont	2024-03-11	2026-05-13	1	1	21.0	merqury, param_value_from_file, tables_arithmetic_operations, busco, sam_merge2, datamash_ops, __FLATTEN__, bandage_image, hypo, nextdenovo, gfastats, gfa_to_fa, bwa_mem2, Add_a_column1, minimap2	Scaffolding, Sequence assembly validation, Sequence alignment, k-mer counting, Phasing, Pairwise sequence alignment, Optimisation and refinement, Data handling, Genome assembly, Sequence assembly visualisation, De-novo assembly	Whole genome sequencing	MIT		ERGA Assembly	False	False
ERGA ONT+Illumina Assembly+QC Flye+HyPo v2403 (WF2)	WorkflowHub	788	https://workflowhub.eu/workflows/788?version=1	Diego De Panis	name:assembly+qc, name:erga, name:illumina, name:ont	2024-03-11	2026-05-13	1	1	16.0	merqury, param_value_from_file, busco, sam_merge2, __FLATTEN__, bandage_image, hypo, gfastats, flye, bwa_mem2, minimap2	Scaffolding, Sequence assembly validation, Sequence alignment, k-mer counting, Mapping assembly, Phasing, Cross-assembly, Pairwise sequence alignment, Optimisation and refinement, Data handling, Genome assembly, Sequence assembly visualisation, De-novo assembly	Whole genome sequencing	MIT		ERGA Assembly	False	False
ERGA HiC Collapsed Scaffolding+QC YaHS v2311 (WF4)	WorkflowHub	702	https://workflowhub.eu/workflows/702?version=1	Diego De Panis	erga, hic, name:assembly+qc	2024-01-09	2026-05-13	1	1	16.0	merqury, param_value_from_file, yahs, busco, gfastats, pretext_map, pretext_snapshot, gfa_to_fa, bwa_mem2, bellerophon	Scaffolding, Sequence assembly validation, Sequence alignment, k-mer counting, Data handling, Genome assembly, De-novo assembly, Phasing	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA ONT+Illumina Collapsed Purge+QC v2311 (WF3)	WorkflowHub	701	https://workflowhub.eu/workflows/701?version=1	Diego De Panis	erga, illumina, name:assembly+qc	2024-01-09	2026-05-13	1	1	14.0	merqury, param_value_from_file, busco, purge_dups, gfastats, gfa_to_fa, minimap2	Scaffolding, Sequence assembly validation, k-mer counting, Phasing, Read binning, Pairwise sequence alignment, Data handling, Genome assembly, De-novo assembly	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA Profiling Illumina v2311 (WF1)	WorkflowHub	698	https://workflowhub.eu/workflows/698?version=1	Diego De Panis	erga, illumina, name:profiling	2024-01-08	2026-05-13	1	1	17.0	param_value_from_file, tp_find_and_replace, smudgeplot, meryl, tp_grep_tool, Convert characters1, tp_cut_tool, Cut1, genomescope, Add_a_column1	k-mer counting, Sequence trimming, Genotyping	Whole genome sequencing	MIT		ERGA Assembly	False	False
ERGA HiFi Hap1Hap2 Purge+QC v2309 (WF3)	WorkflowHub	606	https://workflowhub.eu/workflows/606?version=2	Diego De Panis	assembly+qc, erga, hifi	2024-01-02	2026-05-13	2	1	24.0	merqury, param_value_from_file, busco, purge_dups, gfastats, gfa_to_fa, minimap2	Scaffolding, Sequence assembly validation, k-mer counting, Phasing, Read binning, Pairwise sequence alignment, Data handling, Genome assembly, De-novo assembly	Whole genome sequencing	MIT	10.48546/workflowhub.workflow.606.2	ERGA Assembly	False	False
ERGA HiC Hap1Hap2 Scaffolding+QC YaHS v2309 (WF4)	WorkflowHub	608	https://workflowhub.eu/workflows/608?version=1	Diego De Panis	assembly+qc, erga, hi-c	2023-10-11	2026-05-13	1	1	30.0	merqury, param_value_from_file, yahs, busco, gfastats, pretext_map, pretext_snapshot, gfa_to_fa, bwa_mem2, bellerophon	Scaffolding, Sequence assembly validation, Sequence alignment, k-mer counting, Data handling, Genome assembly, De-novo assembly, Phasing	Whole genome sequencing	MIT	10.48546/workflowhub.workflow.608.1	ERGA Assembly	True	False
Refining Genome Annotations with Apollo (prokaryotes)	WorkflowHub	749	https://workflowhub.eu/workflows/749?version=1	Anthony Bretaudeau	genome-annotation	2024-02-14	2025-11-04	1	1	5.0	jbrowse, iframe, create_or_update, list_organism, create_account	Genome visualisation		CC-BY-4.0	10.48546/workflowhub.workflow.749.1	EuroScienceGateway	True	False
